material_description,price,product_id,vendor_location,link,formatted_datetime,link_id
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,100400409,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,10/30/2022 13:15:12,0
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,100400409,wilmar,https://www.wilmar.com/Sku/24-87610/1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,10/30/2022 13:15:12,1
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,100400409,linemen-tools,https://www.linemen-tools.com/Electrical_Materials_Tubing_EMT_Conduit_1_x_10_p/wal-emt100.htm,10/30/2022 13:15:12,2
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,100400409,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,10/30/2022 13:15:12,3
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,100400406,homedepot,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,10/30/2022 13:15:12,4
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,100400406,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,10/30/2022 13:15:12,5
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,100400406,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,10/30/2022 13:15:12,6
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,100137321,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/30/2022 13:15:12,7
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,100137321,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/30/2022 13:15:12,8
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,100137321,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,10/30/2022 13:15:12,9
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.59,100400405,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,10/30/2022 13:15:12,10
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,202241090,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/30/2022 13:15:12,11
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,100144234,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/30/2022 13:15:12,12
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),8.41,100144234,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/30/2022 13:15:12,13
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,202077145,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,10/30/2022 13:15:12,14
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,202077145,lowes,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,10/30/2022 13:15:12,15
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,202077147,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,10/30/2022 13:15:12,16
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.99,202077147,com/p/steel-city-emt-conduit-connector-785991183801,https://killingworthtruevalue.com/p/steel-city-emt-conduit-connector-785991183801,10/30/2022 13:15:12,17
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,202288508,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,10/30/2022 13:15:12,18
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),150.0,202288508,supplyworks,https://www.supplyworks.com/Sku/202328185/halex-34-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232221-23222,10/30/2022 13:15:12,19
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,202288508,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,10/30/2022 13:15:12,20
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145.0,202304645,homedepot,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,10/30/2022 13:15:12,21
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,202304645,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,10/30/2022 13:15:12,22
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,105.89,202019377,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-2-Romex-SIMpull-Solid-NM-B-W-G-Wire-28827469/202019377,10/30/2022 13:15:12,23
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,202019377,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,10/30/2022 13:15:12,24
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,202019377,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,10/30/2022 13:15:12,25
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,202019377,ebay,https://www.ebay.com/itm/363478081520,10/30/2022 13:15:12,26
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,202019377,landmsupply,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,10/30/2022 13:15:12,27
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,202019377,socalelectric,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,10/30/2022 13:15:12,28
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,202316275,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,10/30/2022 13:15:12,29
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,202316275,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,10/30/2022 13:15:12,30
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,202019375,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,10/30/2022 13:15:12,31
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,200.02,202019375,dkhardware,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,10/30/2022 13:15:12,32
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,202316276,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/30/2022 13:15:12,33
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279.0,202316276,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,10/30/2022 13:15:12,34
