Materials Description,Product id,Material Price,Vendor Location,Link,Formatted Datetime
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,20.62,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,10/31/2022 08:52:48
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,17.55,wilmar,https://www.wilmar.com/Sku/24-87610/1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,10/31/2022 08:52:48
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,8.9,linemen-tools,https://www.linemen-tools.com/Electrical_Materials_Tubing_EMT_Conduit_1_x_10_p/wal-emt100.htm,10/31/2022 08:52:48
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,33.34,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,10/31/2022 08:52:48
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,11.91,homedepot,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,10/31/2022 08:52:48
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,10.47,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,10/31/2022 08:52:48
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,8.12,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,10/31/2022 08:52:48
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/31/2022 08:52:48
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,8.41,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/31/2022 08:52:48
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,4.59,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,10/31/2022 08:52:48
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,202241090,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/31/2022 08:52:48
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),100144234,3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/31/2022 08:52:48
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),100144234,8.41,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/31/2022 08:52:48
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,4.6,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,10/31/2022 08:52:48
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,5.99,lowes,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,10/31/2022 08:52:48
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,20.0,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,10/31/2022 08:52:48
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,202077147,1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,10/31/2022 08:52:48
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,202077147,1.99,com/p/steel-city-emt-conduit-connector-785991183801,https://killingworthtruevalue.com/p/steel-city-emt-conduit-connector-785991183801,10/31/2022 08:52:48
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,10/31/2022 08:52:48
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,10/31/2022 08:52:48
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,pinterest,https://www.pinterest.com/pin/230668812499210604/,10/31/2022 08:52:48
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,75.88,homedepot,https://www.homedepot.com/p/Southwire-500-ft-14-Gauge-Black-Stranded-CU-THHN-Wire-22955958/203401613,10/31/2022 08:52:48
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,84.0,lowes,https://www.lowes.com/pd/Southwire-500-ft-14-AWG-Stranded-Black-Copper-THHN-Wire-By-the-Roll/50149794,10/31/2022 08:52:48
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,105.85,amazon,https://www.amazon.com/Cerro-112-3451J-500-Feet-14-Gauge-Stranded/dp/B00D49VOI6,10/31/2022 08:52:48
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,99.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-12-Black-Stranded-CU-THHN-Wire-22964158/203401696,10/31/2022 08:52:48
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,106.0,lowes,https://www.lowes.com/pd/Southwire-500-ft-12-AWG-Stranded-Black-Copper-THHN-Wire-By-the-Roll/3659372,10/31/2022 08:52:48
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,120.61,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Wire-Black/dp/B0875QSY74,10/31/2022 08:52:48
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,145.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,10/31/2022 08:52:48
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,10/31/2022 08:52:48
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,165.0,wireandcableyourway,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,10/31/2022 08:52:48
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,114.0,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,10/31/2022 08:52:48
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,118.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,10/31/2022 08:52:48
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,111.07,ebay,https://www.ebay.com/itm/363478081520,10/31/2022 08:52:48
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,84.99,landmsupply,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,10/31/2022 08:52:48
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,117.0,socalelectric,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,10/31/2022 08:52:48
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,159.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,10/31/2022 08:52:48
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,159.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,10/31/2022 08:52:48
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,10/31/2022 08:52:48
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,10/31/2022 08:52:48
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,200.02,dkhardware,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,10/31/2022 08:52:48
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,202316276,289.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/31/2022 08:52:48
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,202316276,289.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,10/31/2022 08:52:48
